task_id,run_uuid,status,creation_time,param_angle_of_attack,param_beta,param_tip_twist,param_x_tip_scale,param_y_tip_scale,obj_lift_to_drag
doe-200_gan-1-19-19500,0198b73a-51c0-75bb-a304-216c2198c9ef,Finished,2025-08-17T08:51:49Z,14.0759029,0.4919012307,-5,0.8,0.8,8.300559055703397
doe-200_gan-1-19-19500,0198b747-63d3-745b-8b73-ef3e01b1191e,Finished,2025-08-17T09:06:05Z,13.42013052,0.3930441161,-5,0.8,0.8,8.571368061955159
doe-200_gan-1-19-19500,0198b748-1ee6-7240-a5d5-aba228018268,Finished,2025-08-17T09:06:53Z,15.05311708,0.7708006963,-5,0.8,0.8,7.379217561573403
doe-200_gan-1-19-19500,0198b753-55df-7381-a6e7-ae8500a75ef5,Finished,2025-08-17T09:19:08Z,16.47216469,0.7817972571,-5,0.8,0.8,6.301355443666765
doe-200_gan-1-19-19500,0198b763-dfbe-710f-aa21-06fcbe5fa2a3,Finished,2025-08-17T09:37:12Z,13.62770551,0.628573209,-5,0.8,0.8,8.887241043229068
doe-200_gan-1-19-19500,0198b765-3047-781c-a19c-1a2220bf8f6a,Finished,2025-08-17T09:38:38Z,15.60510193,0.2715532658,-5,0.8,0.8,6.61166414024394
doe-200_gan-1-19-19500,0198b76c-cbbd-7327-9622-81fc9d86afa8,Finished,2025-08-17T09:46:57Z,14.11526991,0.1644648506,-5,0.8,0.8,6.8165319025235265
doe-200_gan-1-19-19500,0198b77b-f1f9-760c-9f81-05834a31cd4d,Finished,2025-08-17T10:03:30Z,14.22596267,0.1425924566,-5,0.8,0.8,6.661544712218459
doe-200_gan-1-19-19500,0198b781-9932-7c76-9493-3730464c4315,Finished,2025-08-17T10:09:40Z,14.8968314,0.6333746928,-5,0.8,0.8,7.849924501753096
doe-200_gan-1-19-19500,0198b784-2e6b-7066-a837-40e9cead0138,Finished,2025-08-17T10:12:29Z,14.25293832,0.1347443848,-5,0.8,0.8,6.599520372264564
doe-200_gan-1-19-19500,0198b796-492c-731e-8b84-04fa818c678d,Finished,2025-08-17T10:32:16Z,16.8844788,0.8098496953,-5,0.8,0.8,5.838874024578805
doe-200_gan-1-19-19500,0198b798-bb9f-7e87-bcf0-8ffc4e6ef46c,Finished,2025-08-17T10:34:56Z,15.7600787,0.340354951,-5,0.8,0.8,6.822242076536508
doe-200_gan-1-19-19500,0198b79c-bc6d-7b74-9fc8-4fa3f7c3ceb0,Finished,2025-08-17T10:39:19Z,13.28697405,0.3097606715,-5,0.8,0.8,8.253626387171023
doe-200_gan-1-19-19500,0198b7b3-b105-761b-b501-ec24f551be7b,Finished,2025-08-17T11:04:23Z,14.72398004,0.09864672718,-5,0.8,0.8,6.187410885595374
doe-200_gan-1-19-19500,0198b7b6-4115-72d7-88c8-95e204312754,Finished,2025-08-17T11:07:11Z,16.30570794,0.5548470234,-5,0.8,0.8,6.790866843709026
doe-200_gan-1-19-19500,0198b7cd-9a52-7e67-b287-df8d5a30bf81,Finished,2025-08-17T11:32:41Z,15.82611536,0.476511344,-5,0.8,0.8,7.069246164261959
doe-200_gan-1-19-19500,0198b7e5-6a31-7262-b6de-0ca001fd2afe,Finished,2025-08-17T11:58:42Z,13.76669724,0.3565199374,-5,0.8,0.8,8.110506712182417
doe-200_gan-1-19-19500,0198b7fb-b31d-756d-8df0-91e787b1c532,Finished,2025-08-17T12:23:02Z,15.75895775,0.523216029,-5,0.8,0.8,7.137818396509715
doe-200_gan-1-19-19500,0198b815-7b33-7681-a817-0c4ea6c8aa8c,Finished,2025-08-17T12:51:12Z,15.95934724,0.5450125799,-5,0.8,0.8,6.977323739924496
